FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value,Cluster 3 Average,Cluster 3 Log2 Fold Change,Cluster 3 P-Value,Cluster 4 Average,Cluster 4 Log2 Fold Change,Cluster 4 P-Value,Cluster 5 Average,Cluster 5 Log2 Fold Change,Cluster 5 P-Value,Cluster 6 Average,Cluster 6 Log2 Fold Change,Cluster 6 P-Value,Cluster 7 Average,Cluster 7 Log2 Fold Change,Cluster 7 P-Value,Cluster 8 Average,Cluster 8 Log2 Fold Change,Cluster 8 P-Value,Cluster 9 Average,Cluster 9 Log2 Fold Change,Cluster 9 P-Value
ENSG00000111341,MGP,196.5097338,3.014440983,1.14E-55,5.963639914,-4.005205068,1.37E-45,35.04340436,-1.186563905,0.000653894,58.36704981,-0.356273212,1,4.884136995,-4.044327303,2.17E-16,94.75511554,0.383377882,1,14.25709072,-2.468622988,1.43E-06,7.092168046,-3.440687301,0.000111404,51.83145804,-0.531119502,1
ENSG00000163631,ALB,7.052030358,3.348081673,1.44E-40,0.187082151,-4.123984014,4.15E-27,0.930407734,-1.568746897,0.001406433,1.140311393,-1.17363568,1,0.15748225,-4.108263699,7.70E-09,2.465770655,-0.034977181,1,0.463869466,-2.531821407,0.00159193,0.287150763,-3.172011666,0.104168881,2.386475291,-0.085116039,1
ENSG00000108417,KRT37,4.001262172,2.508096108,1.17E-37,0.148238823,-3.842636095,1.87E-39,0.886451463,-0.994468232,0.007969843,1.736863186,0.073734893,1,0.10717542,-4.044019787,2.40E-14,2.033692266,0.320754685,1,0.235695837,-2.895898487,1.53E-07,0.154970253,-3.434067353,0.001097256,4.171584129,1.402677373,0.281358041
ENSG00000196542,SPTSSB,1.293671629,2.528511856,2.07E-36,0.074515772,-3.174053532,9.76E-27,0.244689908,-1.225997589,0.001206395,0.427616772,-0.313628358,1,0.135609715,-2.050896632,9.21E-05,0.73420839,0.50394957,1,0.162981164,-1.767739097,0.004101318,0.082043075,-2.676686944,0.039495351,0.69631905,0.408581924,1
ENSG00000169906,S100G,11.40525228,2.309764025,1.52E-32,0.328979206,-4.279318073,2.29E-48,2.02345367,-1.40495669,4.42E-05,4.614037765,-0.099993567,1,0.293091965,-4.186038397,4.21E-16,11.49718359,1.350486296,0.013253672,3.166849381,-0.67851724,0.416701594,0.419331273,-3.599015853,0.000264069,4.753960062,-0.056261342,1
ENSG00000110484,SCGB2A2,17.94927164,2.297996611,1.27E-29,0.564417336,-4.158055144,4.53E-43,3.689396336,-1.184029443,0.001307139,7.343394201,-0.087901353,1,0.562124141,-3.908125879,2.32E-13,18.46241717,1.37961831,0.016464029,3.603137419,-1.171570457,0.076465623,0.464910759,-4.111389588,0.000108996,8.26720618,0.087543459,1
ENSG00000134533,RERG,3.577694489,2.181746361,2.16E-29,0.233852688,-3.11267542,9.11E-30,0.671065736,-1.364475317,0.00011355,1.203662026,-0.415309832,1,0.174980277,-3.287944902,5.08E-11,2.650947107,0.797969786,0.762279957,1.644856052,0.052625416,1,0.287150763,-2.503732853,0.037538733,1.899051956,0.261726127,1
ENSG00000254695,AC087379.2,1.184908636,2.260249368,6.49E-27,0.043599654,-3.916230366,5.02E-33,0.265202834,-1.059132844,0.00864053,0.432895992,-0.253729969,1,0.052494083,-3.363694578,5.08E-09,1.448924522,1.662334005,0.000409311,0.095281296,-2.500048955,5.68E-05,0.036463589,-3.719264361,0.003054353,0.468432816,-0.134896075,1
ENSG00000159399,HK2,1.786145059,2.0654727,1.66E-25,0.160129637,-2.678907738,1.74E-22,0.309159105,-1.527864543,1.98E-05,0.543759599,-0.599186871,1,0.369645836,-1.213594684,0.035340513,1.033089681,0.362971484,1,1.038064643,0.378593869,0.633628661,0.200549739,-2.047979682,0.150284312,0.670998358,-0.287586441,1
ENSG00000188488,SERPINA5,1.427429844,2.028215271,2.45E-24,0.112566379,-2.884313801,1.12E-24,0.257876789,-1.476223008,4.44E-05,0.644064768,-0.030700426,1,0.091864646,-2.928467199,1.38E-08,0.799182584,0.298453815,1,0.962842567,0.603422882,0.309533283,0.127622561,-2.375673133,0.068872043,0.917875112,0.496290508,1
ENSG00000124935,SCGB1D2,16.39821677,2.08959588,2.74E-24,0.409044024,-4.571127499,2.28E-48,3.915038527,-1.031212995,0.005965933,7.734056437,0.048898245,1,0.505255551,-4.004890308,9.10E-14,20.71702169,1.643492699,0.000579628,3.625704042,-1.102957864,0.106396294,0.455794862,-4.082517548,0.000110021,8.507752761,0.189423505,1
ENSG00000070540,WIPI1,1.454451706,1.939953529,3.49E-22,0.217998269,-1.941848721,3.41E-13,0.388280393,-0.914277528,0.01622358,0.506805063,-0.447522778,1,0.194665559,-1.905226924,0.000179771,0.756949358,0.14903827,1,0.734668938,0.104767771,1,0.168644099,-2.043609935,0.155082479,0.658338011,-0.06032138,1
ENSG00000196177,ACADSB,5.519890799,1.850223147,5.33E-21,0.920349055,-1.817486637,1.01E-12,0.969968378,-1.597683916,4.81E-06,1.409551583,-0.952626728,1,0.623367239,-2.203643849,4.91E-06,3.001807754,0.174069068,1,4.194884414,0.716394219,0.197930395,0.907031775,-1.601731673,0.491593201,2.86123828,0.094036271,1
ENSG00000168421,RHOH,1.133567098,1.87604047,1.87E-20,0.085613866,-3.008085687,1.19E-25,0.345789331,-0.732373658,0.069213802,0.44873365,-0.282418148,1,0.061243097,-3.227255749,1.38E-09,0.73095968,0.455153099,1,0.907679712,0.817321502,0.100259635,0.059253332,-3.158549406,0.007249011,0.487423335,-0.157985811,1
ENSG00000084444,FAM234B,7.629622652,1.790642895,5.46E-20,1.629041609,-1.451048862,1.00E-08,1.66008183,-1.298992313,0.000127228,2.845499262,-0.42097542,1,1.362658911,-1.552667658,0.002078964,4.840577438,0.386585683,1,3.06655328,-0.319391214,0.871956447,1.362826636,-1.506857377,0.630683424,4.671667811,0.316465636,1
ENSG00000179715,PCED1B,2.058390315,1.845173207,8.87E-20,0.295684925,-2.050455726,2.83E-14,0.671065736,-0.643891868,0.125890682,1.224778903,0.304688571,1,0.21435084,-2.315628461,4.79E-06,1.741308394,0.868946808,0.638429716,0.443810246,-1.232096846,0.069802829,0.227897431,-2.159115058,0.12026319,1.139431173,0.194699791,1
ENSG00000121552,CSTA,7.518157472,1.791304279,1.07E-19,0.428862049,-3.4731612,4.01E-36,2.033710133,-0.962900184,0.006439782,3.394538081,-0.136643738,1,0.323713513,-3.633277955,3.06E-13,8.732531647,1.362283572,0.010345675,4.874390497,0.431106787,0.587248364,0.350962043,-3.445354748,0.000495336,3.475265079,-0.102079064,1
ENSG00000047230,CTPS2,3.138589237,1.781117416,3.44E-19,0.500206937,-1.918525289,1.93E-13,0.561175058,-1.599874156,5.77E-06,1.140311393,-0.459985065,1,0.387143864,-2.099732356,1.87E-05,2.124656137,0.485007576,1,2.494865506,0.758277193,0.162588171,0.405657427,-1.972666831,0.176798982,1.323006196,-0.23906796,1
ENSG00000140526,ABHD2,4.228921356,1.7300906,1.76E-18,0.611187874,-2.094715843,5.75E-16,1.173632433,-0.950236217,0.009456291,1.689350211,-0.343529116,1,0.465884989,-2.289670601,1.85E-06,3.203227755,0.638006898,1,2.459761871,0.230010052,0.910495852,0.492258451,-2.149920425,0.098752828,3.177746939,0.5989068,1
ENSG00000104341,LAPTM4B,3.670919912,1.692671415,1.10E-17,0.977424965,-1.137259364,1.19E-05,0.92161648,-1.122449746,0.001733021,1.462343777,-0.363620629,1,0.748040686,-1.397129904,0.007696649,1.630852265,-0.205274214,1,1.371549178,-0.474453472,0.722067717,0.829546648,-1.201117202,1,2.905549492,0.6608716,1
ENSG00000150995,ITPR1,1.909094529,1.704724343,2.19E-17,0.358309882,-1.695510763,1.11E-10,0.508427533,-1.02380463,0.005671788,0.644064768,-0.598093175,1,0.26465767,-1.956887565,9.09E-05,1.611360006,0.799771147,0.762279957,1.02552763,0.094467906,1,0.287150763,-1.777668918,0.325344468,0.892554419,-0.115685218,1
ENSG00000204511,MCCD1,4.380919328,1.666473814,7.53E-17,0.155373312,-4.224353525,2.19E-46,1.709898937,-0.442445824,0.306129939,3.700732807,0.754333053,0.932722688,0.122486194,-4.298105901,3.39E-16,2.384552913,0.09265027,1,1.735122543,-0.397772887,0.837725866,0.104832818,-4.423085837,1.54E-05,9.495259778,2.230547285,0.000133925
ENSG00000013583,HEBP1,5.638111444,1.624571279,2.08E-16,1.380127222,-1.309851292,2.86E-07,1.534073854,-1.031004143,0.003007819,2.037778693,-0.540134707,1,1.054256172,-1.557697799,0.002037299,4.30454034,0.599576729,1,2.595161607,-0.186562894,1,1.125813308,-1.415365289,0.793739978,2.867568453,-0.033655586,1
ENSG00000113739,STC2,4.553183697,1.624735984,2.87E-16,1.620321678,-0.681893675,0.017528154,0.95092066,-1.436570967,3.99E-05,1.351480169,-0.829073931,1,1.692934185,-0.519202758,0.742002761,1.250753231,-0.958876368,1,1.140868146,-1.109789701,0.10059364,1.795831755,-0.411811073,1,2.949860704,0.327768951,1
ENSG00000137673,MMP7,1.259218755,2.27673353,1.25E-15,0.128420798,-2.401711492,1.90E-09,0.442493127,-0.343955602,0.764950194,0.527921941,-0.045703927,1,0.161856757,-1.835546875,0.042601245,0.646493228,0.261101132,1,0.145429346,-1.97568159,0.054766814,0.082043075,-2.718491971,0.491593201,0.259537101,-1.073048977,1
ENSG00000134202,GSTM3,1.45377616,1.57028367,1.05E-14,0.30044125,-1.60751789,1.07E-09,0.530405669,-0.595180554,0.156402094,0.733811498,-0.062104361,1,0.266844923,-1.602012571,0.002078964,1.26049936,0.777345615,0.836096206,0.506495309,-0.63430366,0.532258513,0.26436102,-1.558716796,0.613637856,0.936865631,0.300710781,1
ENSG00000126562,WNK4,1.14302475,1.575017348,2.20E-14,0.103053727,-2.878652533,3.22E-24,0.402932483,-0.646171796,0.120516504,0.44873365,-0.4276892,1,0.059055844,-3.420790905,1.90E-10,0.698472583,0.232128148,1,1.196031001,1.115415634,0.00727234,0.077485126,-2.935822989,0.013512074,1.158421693,0.986767945,1
ENSG00000137331,IER3,6.27988066,1.50552798,4.01E-14,1.150238138,-1.834108088,3.33E-13,2.328217148,-0.605384931,0.113108566,2.78214863,-0.29488419,1,0.697733856,-2.381724468,5.25E-07,3.466373239,0.035936045,1,5.69431112,0.83536748,0.09145847,0.761177419,-2.197019034,0.075860257,4.640016945,0.467577295,1
ENSG00000189058,APOD,3.139264783,1.66499168,6.12E-14,0.220376432,-3.217601722,1.14E-25,2.061549105,0.422227904,0.308850288,3.014434284,0.951739967,0.751675198,0.341211541,-2.33583907,2.65E-05,1.146794521,-0.513085479,1,0.330977132,-2.365005367,0.000176322,0.255245122,-2.688129281,0.065747628,4.323508285,1.50034348,0.281358041
ENSG00000196136,SERPINA3,8.788184972,1.500199847,7.67E-14,2.14113936,-1.381781657,6.04E-08,4.259362649,-0.176816694,0.80885777,7.148063082,0.615479398,1,1.732304747,-1.53886903,0.002492638,3.684036789,-0.386164552,1,2.04102565,-1.283620311,0.041675816,1.750252269,-1.478947808,0.700534238,8.38747947,0.851974152,1
ENSG00000185745,IFIT1,3.57566785,1.417710377,2.23E-12,1.112187531,-1.023964864,9.67E-05,1.01099423,-1.073844042,0.002828035,1.467622996,-0.448802208,1,1.0717542,-0.948936516,0.146103292,2.270848073,0.20842583,1,1.845448254,-0.111586614,1,1.257993818,-0.679110082,1,2.177579576,0.136667464,1
ENSG00000164919,COX6C,183.8202675,1.396880213,2.56E-12,56.54478733,-1.055021477,4.20E-05,42.63758276,-1.390727048,3.16E-05,71.44367629,-0.544905576,1,40.75728113,-1.415837669,0.003291174,161.79224,0.707751663,1,131.5533806,0.391034783,0.646893951,45.98058564,-1.197967852,0.917553874,72.48681314,-0.522195736,1
ENSG00000120833,SOCS2,1.181530903,1.436811318,4.75E-12,0.140311613,-2.5321189,3.09E-20,0.303298269,-1.208503322,0.000975853,0.385383017,-0.765081708,1,0.096239153,-2.842101612,2.81E-08,0.828420971,0.37547461,1,1.830403839,1.729376037,1.35E-07,0.109390767,-2.571710182,0.039495351,0.588706106,-0.141602913,1
ENSG00000160182,TFF1,6.825046719,1.398691546,5.37E-12,1.608430863,-1.489486744,4.97E-09,2.080596822,-0.967965784,0.005971013,3.415654959,-0.166256722,1,2.403791562,-0.714738404,0.351535155,5.305142924,0.512763147,1,3.831311049,0.008597022,1,1.841411241,-1.082334807,1,4.734969542,0.31993839,1
ENSG00000147475,ERLIN2,3.029826243,1.359197572,2.09E-11,0.580271756,-1.83946835,7.45E-13,0.732604515,-1.344034541,0.000122925,1.214220465,-0.512419994,1,0.616805478,-1.557475072,0.002092103,2.533993558,0.60807741,1,3.575555992,1.198500568,0.002574017,0.569743577,-1.624047142,0.44328198,1.664835548,-0.044705007,1
ENSG00000204832,ST8SIA6-AS1,1.164642239,1.3946262,3.04E-11,0.045185096,-4.202938888,7.32E-41,0.240294281,-1.561753784,1.74E-05,0.464571308,-0.491746885,1,0.041557816,-4.022452639,4.27E-13,1.56912678,1.405127023,0.005533529,1.762703971,1.660850024,8.09E-07,0.068369229,-3.219029188,0.00529627,0.620356972,-0.064177431,1
ENSG00000156675,RAB11FIP1,5.800242614,1.338608043,3.41E-11,1.188288745,-1.745207436,3.68E-12,1.57070408,-1.182479222,0.000509111,2.555142195,-0.385751285,1,1.194240394,-1.553493001,0.001971118,5.363619699,0.755703414,0.966357711,5.987677215,0.958889973,0.033769143,1.007306644,-1.75559196,0.295034553,3.563887503,0.108391288,1
ENSG00000205592,MUC19,1.555108141,1.491034733,6.50E-11,0.848211446,0.017018355,1,0.213920518,-2.122357909,1.50E-07,0.306194726,-1.474795416,0.93797971,0.330275274,-1.424514755,0.024696777,0.678980325,-0.32368655,1,0.581717384,-0.565626761,0.692189218,0.501374348,-0.765012976,1,0.354489698,-1.255703465,1
ENSG00000074410,CA12,2.298884884,1.32304667,1.33E-10,0.927483544,-0.634859641,0.032040557,0.596340075,-1.254745294,0.000437818,0.971376372,-0.450830457,1,0.656176041,-1.069710898,0.078593374,1.565878071,0.268026465,1,1.188508794,-0.157846419,1,0.587975371,-1.191464029,1,1.449609659,0.142675344,1
ENSG00000148154,UGCG,2.941329646,1.313783161,1.44E-10,0.620700525,-1.711067641,3.34E-11,0.914290434,-0.981531529,0.007312043,1.494019093,-0.184569649,1,0.494319284,-1.864224298,0.00014488,2.706175172,0.73471837,0.945752598,3.209475224,1.038307402,0.017563706,0.569743577,-1.603502483,0.486019435,1.215393252,-0.487852355,1
ENSG00000176532,PRR15,2.011777604,1.288546673,4.29E-10,0.75387765,-0.782963835,0.004918622,0.389745602,-1.715276406,1.02E-06,0.760207595,-0.631830833,1,0.748040686,-0.6868064,0.471908284,1.244255811,0.10094744,1,1.532022939,0.433166057,0.542525583,0.72471383,-0.705752431,1,1.069799268,-0.12666152,1
ENSG00000185290,NUPR2,0.90658346,1.316511726,5.17E-10,0.161715079,-1.969172633,3.61E-13,0.247620326,-1.174295462,0.0016266,0.501525844,-0.046041038,1,0.085302885,-2.686715623,1.99E-07,0.8381671,0.747421176,0.955656874,1.135853341,1.278313178,0.000881448,0.113948715,-2.188749644,0.117858393,0.595036279,0.207813533,1
ENSG00000101443,WFDC2,1.690892996,1.28656614,6.22E-10,0.212449222,-2.526793186,1.02E-20,0.682787408,-0.584752674,0.166858069,1.467622996,0.60868801,1,0.242785135,-2.104423463,2.24E-05,1.640598394,0.805525034,0.760891341,1.336445543,0.492197267,0.452788519,0.223339482,-2.158837916,0.111972207,2.12693819,1.168333223,0.827779664
ENSG00000104549,SQLE,1.132216005,1.297431253,6.71E-10,0.449472794,-0.677351254,0.024748896,0.260807207,-1.445617201,5.99E-05,0.401220675,-0.71345523,1,0.323713513,-1.075899557,0.082822049,0.604260002,-0.116680943,1,0.922724127,0.548899936,0.385696131,0.378309735,-0.804492559,1,0.544394894,-0.263391054,1
ENSG00000141232,TOB1,4.367408398,1.248689141,8.57E-10,1.747157035,-0.695214093,0.013294,1.081324264,-1.367424239,7.72E-05,1.662954114,-0.646581327,1,1.205176661,-1.161924039,0.037663987,2.995310334,0.236998762,1,3.252101067,0.373628586,0.675181183,1.695556885,-0.620580666,1,2.228220961,-0.213174979,1
ENSG00000123983,ACSL3,1.444318508,1.260760321,1.49E-09,0.485937959,-0.981584843,0.000322062,0.463006053,-0.960368926,0.009676085,0.681019304,-0.31708128,1,0.406829145,-1.119674057,0.060701863,1.078571617,0.378635785,1,1.123316328,0.452115335,0.512634118,0.405657427,-1.080831843,1,0.639347492,-0.407036055,1
ENSG00000166347,CYB5A,4.375514956,1.244117575,1.61E-09,1.838319947,-0.612800558,0.039141359,1.296709991,-1.093967803,0.002355082,2.343973418,-0.14338955,1,1.367033418,-0.977236836,0.128247256,3.680788079,0.553509033,1,1.825389034,-0.531248838,0.651483143,1.795831755,-0.540596705,1,1.626854509,-0.681197968,1
ENSG00000095739,BAMBI,12.76174974,1.23013279,1.65E-09,3.059902973,-1.555742559,5.70E-10,2.725288795,-1.603561176,1.59E-06,4.830485761,-0.668005551,1,2.15007016,-1.908828221,3.03E-05,10.23343552,0.469584071,1,18.87823356,1.515136974,1.17E-05,2.319995846,-1.747842914,0.295034553,7.444283666,-0.026837276,1
ENSG00000163913,IFT122,3.761443149,1.237648165,1.82E-09,1.083649576,-1.253490705,1.02E-06,1.365574815,-0.781458818,0.031431571,2.523466878,0.190183623,1,0.680235829,-1.796852812,0.000242518,3.050538399,0.492523465,1,2.820827834,0.378864787,0.675181183,0.802198956,-1.504981504,0.642033676,3.361321961,0.618103532,1
ENSG00000172292,CERS6,1.331502235,1.253759358,1.87E-09,0.434411096,-1.036992057,0.00012712,0.40732811,-1.036268776,0.00477565,0.527921941,-0.574585111,1,0.358709569,-1.189464246,0.038646273,1.003851294,0.389962344,1,1.05561646,0.479167256,0.473279566,0.464910759,-0.765198616,1,0.816592341,0.069795129,1
ENSG00000104325,DECR1,1.353119725,1.242250377,2.95E-09,0.474047145,-0.924466656,0.000812873,0.515753578,-0.699944286,0.078558487,0.654623207,-0.288185845,1,0.352147808,-1.247368965,0.0264985,1.078571617,0.470478021,1,0.807383611,0.022725827,1,0.487700502,-0.724868471,1,0.664668184,-0.263399346,1
ENSG00000158321,AUTS2,1.248410011,1.213833336,9.11E-09,0.21086378,-2.111822728,2.73E-15,0.364837048,-1.128390203,0.002156964,0.575434916,-0.373618233,1,0.212163586,-1.89163837,0.000181123,1.289737747,0.86564847,0.629576257,1.745152153,1.405718437,9.71E-05,0.191433842,-1.974124835,0.186965245,0.765950955,0.049943995,1
ENSG00000173267,SNCG,2.508304313,1.178366791,1.79E-08,0.147446102,-3.719556536,1.61E-38,1.528213018,0.019305,1,2.929966773,1.004106167,0.459202302,0.133422462,-3.602711271,1.48E-12,2.053184524,0.474325002,1,2.118755128,0.536444439,0.394878027,0.091158972,-4.045146003,8.88E-05,4.614696252,1.701582293,0.030882365
ENSG00000096696,DSP,5.866446176,1.155692987,1.93E-08,1.892224973,-1.116346705,1.33E-05,1.444696103,-1.427126998,1.97E-05,2.449557807,-0.561075742,1,2.504405221,-0.550510928,0.592679363,4.392255501,0.320870777,1,5.62410385,0.728480454,0.175070365,2.306322,-0.652568554,1,3.728472006,0.062041951,1
ENSG00000278484,AC010998.3,0.621502819,1.225973131,2.96E-08,0.045185096,-3.362366189,1.63E-27,0.095238587,-2.084449753,5.41E-08,0.216447996,-0.760718546,1,0.032808802,-3.519826045,8.62E-10,0.477560324,0.408910197,1,1.476860084,2.424074852,2.36E-16,0.077485126,-2.221285162,0.133170053,0.284857793,-0.356841943,1
ENSG00000158406,HIST1H4H,2.433994193,1.147088638,3.69E-08,0.928276265,-0.839650276,0.001960574,0.572896731,-1.49869552,1.65E-05,0.702136182,-1.103178718,1,0.846467092,-0.86642332,0.217372312,2.124656137,0.55748971,1,2.281736292,0.687352636,0.224984475,1.002748696,-0.584188549,1,1.082459615,-0.466163288,1
ENSG00000182704,TSKU,1.182881996,1.164820509,4.20E-08,0.382884232,-1.103002535,4.77E-05,0.477658144,-0.652455249,0.111443814,0.818279009,0.202852745,1,0.422139919,-0.81376437,0.302635402,0.776441616,0.126687876,1,0.60679141,-0.254081022,1,0.355519992,-1.029494646,1,1.405298447,1.015476201,1
ENSG00000169905,TOR1AIP2,1.590912108,1.151310587,4.39E-08,0.634969503,-0.758755303,0.008008028,0.555314222,-0.889709478,0.01735913,0.686298523,-0.507481743,1,0.559936888,-0.844080028,0.252914215,1.172784198,0.296892375,1,1.030542435,0.099279724,1,0.565185628,-0.796539808,1,1.069799268,0.149636742,1
ENSG00000164961,WASHC5,2.569779048,1.141416194,4.49E-08,1.076515088,-0.682060456,0.016997376,0.748721814,-1.176289298,0.000936918,1.145590612,-0.468468517,1,0.839905332,-0.963703227,0.135004128,2.400796461,0.661430724,1,1.519485926,-0.050233516,1,1.025538439,-0.63464429,1,1.512911391,-0.056202652,1
ENSG00000116977,LGALS8,1.874641656,1.143054553,5.21E-08,0.62466413,-1.068953466,6.19E-05,0.630039883,-0.953837794,0.009535209,0.754928376,-0.614727095,1,0.59274569,-1.011436622,0.107188791,1.380701618,0.290244312,1,1.958281367,0.86372102,0.062459569,0.546953834,-1.091185371,1,1.01282771,-0.179944827,1
ENSG00000156650,KAT6B,1.41256782,1.147656435,6.40E-08,0.240987177,-2.134117767,9.08E-16,0.397071647,-1.225585086,0.000702606,0.812999789,-0.08232565,1,0.275593937,-1.72589298,0.000701453,1.770546781,1.14016966,0.098423217,1.802822411,1.205357134,0.001968466,0.364635889,-1.262968906,1,0.905214765,0.0772913,1
ENSG00000104221,BRF2,1.751692185,1.124616296,9.65E-08,0.537464823,-1.216406429,3.79E-06,0.547988177,-1.075120889,0.003013854,0.934421836,-0.209490499,1,0.470259496,-1.266807447,0.021438195,1.25400194,0.235910063,1,2.018459028,1.016615218,0.016063065,0.433005119,-1.34177123,0.940013656,1.398968274,0.390585495,1
ENSG00000172425,TTC36,0.850513097,1.137647716,1.37E-07,0.183118546,-1.774853197,4.58E-11,0.383884766,-0.490319625,0.288473956,0.765486815,0.586999553,1,0.10717542,-2.359314475,4.16E-06,0.782939035,0.639385233,1,0.71711712,0.512350023,0.432358948,0.136738458,-1.93227355,0.241734412,1.114110481,1.152051188,0.920523644
ENSG00000171791,BCL2,1.582130003,1.110809082,1.56E-07,0.60801699,-0.848901028,0.002315637,0.531870878,-0.971361174,0.008348412,0.80772057,-0.281229469,1,0.404641892,-1.346087859,0.0124904,1.533390974,0.70284168,1,1.28379009,0.432720272,0.544839844,0.565185628,-0.810416241,1,0.727969916,-0.43170386,1
ENSG00000153002,CPB1,1.388923691,1.287479269,1.63E-07,0.118908147,-3.101154252,2.94E-21,0.448353963,-0.934811488,0.041812618,0.464571308,-0.806230168,1,0.126860701,-2.75666443,4.83E-06,2.248107106,1.654837585,0.0023818,1.757689166,1.277270767,0.005505344,0.072927178,-3.43950572,0.018433649,0.500083682,-0.693711384,1
ENSG00000147471,PLPBP,1.992186754,1.098271069,1.83E-07,0.466912656,-1.666890144,1.01E-10,0.712091588,-0.883953191,0.017341431,1.140311393,-0.120343529,1,0.43526344,-1.588739873,0.001756155,2.326076138,0.993879597,0.295858363,2.161380971,0.899078388,0.046731563,0.62443896,-1.011416761,1,1.348326888,0.12838833,1
ENSG00000134215,VAV3,1.055879246,1.116411462,2.19E-07,0.577100872,-0.223183837,0.696447799,0.273994089,-1.363496773,0.000152606,0.327311603,-1.002085361,1,0.374020343,-0.851228498,0.253519424,0.575021615,-0.184665728,1,0.70708751,0.132815979,1,0.519606142,-0.330535918,1,0.430451777,-0.598688714,1
ENSG00000111716,LDHB,1.482149114,1.108496838,2.21E-07,0.313124786,-1.823984931,4.61E-12,1.339201053,0.653928002,0.040920219,1.029447785,0.175952793,1,0.21435084,-2.186720056,1.11E-05,1.065576778,0.233877473,1,0.880098284,-0.061005239,1,0.241571277,-1.948085466,0.196795336,1.209063078,0.414450161,1
ENSG00000111371,SLC38A1,2.376572737,1.08926532,2.52E-07,1.217619422,-0.360234302,0.337621155,0.750187023,-1.082458913,0.002661467,1.055843882,-0.501595568,1,0.995200328,-0.616038757,0.565947377,1.955723234,0.431354915,1,0.932753737,-0.708082926,0.428929412,1.194182537,-0.321264278,1,1.038148402,-0.523786383,1
ENSG00000129235,TXNDC17,3.749283311,1.073485038,2.79E-07,1.715448195,-0.572429106,0.055648871,1.43443964,-0.793352265,0.026791092,1.578486604,-0.59224639,1,1.408591234,-0.791805754,0.29782116,2.777646785,0.25770861,1,2.211529022,-0.093964537,1,1.782157909,-0.414697426,1,2.088957151,-0.177061809,1
ENSG00000113494,PRLR,1.433509763,1.097404147,2.99E-07,0.517646798,-0.962390956,0.000462816,0.351650167,-1.461559136,4.12E-05,0.728532279,-0.294406134,1,0.312777246,-1.588518987,0.002185585,1.302732586,0.593325447,1,1.710048518,1.058394239,0.011404262,0.478584605,-0.915733713,1,0.626687145,-0.512571595,1
ENSG00000065911,MTHFD2,1.532139559,1.089374085,3.01E-07,0.691252692,-0.585872896,0.059989868,0.608061747,-0.724589018,0.06433122,0.464571308,-1.055933743,1,0.544626114,-0.863652213,0.230190025,1.081820327,0.194853483,1,1.075675681,0.189951113,0.917095554,0.651786652,-0.564844186,1,0.734300089,-0.383388238,1
ENSG00000125166,GOT2,2.004346592,1.074503833,3.66E-07,0.733266904,-0.955398573,0.000316687,0.653483227,-1.040577455,0.003932448,1.119194515,-0.170447417,1,0.608056464,-1.112444938,0.057465281,1.481411619,0.255977296,1,1.955773965,0.709138432,0.169233727,0.815872802,-0.640537149,1,1.392638101,0.154112222,1
ENSG00000163170,BOLA3,1.547001582,1.09080869,3.76E-07,0.59216257,-0.868252395,0.001975257,0.591944448,-0.781097325,0.044853476,0.644064768,-0.592437291,1,0.487757523,-1.043873576,0.097255885,1.309230005,0.47725549,1,1.291312297,0.466234687,0.493242693,0.697366138,-0.478527609,1,0.639347492,-0.599256948,1
ENSG00000160180,TFF3,23.66439539,1.050782415,4.84E-07,6.883988969,-1.350250569,7.79E-08,10.02056455,-0.648014958,0.081199389,15.446996,0.043686688,1,13.57846953,-0.15270444,1,17.27988684,0.220724835,1,18.22881631,0.311324357,0.776149978,6.45405524,-1.251652447,0.811311886,20.86425082,0.492162691,1
ENSG00000109436,TBC1D9,3.594583153,1.060209968,4.85E-07,1.328600358,-0.947725114,0.000334802,1.110628444,-1.133194997,0.001433555,1.847726794,-0.304273504,1,1.091439481,-1.12139374,0.052424756,3.177238077,0.525677498,1,3.896503514,0.873281726,0.070191134,1.125813308,-1.038128703,1,1.70914676,-0.418106421,1
ENSG00000131238,PPT1,3.272347452,1.059556038,4.87E-07,1.31353866,-0.808106559,0.003003894,1.353853143,-0.678313679,0.068589824,1.647116456,-0.335392844,1,1.02800913,-1.070246441,0.07227021,3.476119369,0.817262832,0.793235177,1.965803575,-0.073482765,1,1.230646126,-0.768771765,1,1.772448492,-0.225941123,1
ENSG00000147586,MRPS28,1.474718102,1.06682334,6.15E-07,0.734059625,-0.426824226,0.222311103,0.455680008,-1.12674235,0.00186465,0.62294789,-0.583872592,1,0.645239773,-0.559993733,0.673204335,1.000602585,0.120584268,1,0.870068674,-0.095215498,1,0.701924087,-0.41099632,1,0.803931995,-0.206377081,1
ENSG00000176788,BASP1,1.184908636,1.059789075,9.54E-07,0.21879099,-2.061610468,1.00E-14,0.826377893,0.173426786,0.702332123,0.781324473,0.072754898,1,0.26465767,-1.572900134,0.00272178,1.137048392,0.657672331,1,1.033049838,0.518235094,0.427905581,0.291708711,-1.376114207,0.923187703,0.968516497,0.391845924,1
